time,open,high,low,close,Volume
1746497700,23349.41,23350.43,23345.41,23349.41,119
1746498000,23349.41,23350.43,23343.91,23344.41,79
1746498300,23344.41,23345.93,23340.66,23342.91,35
1746498600,23342.91,23350.92,23340.93,23349.92,85
1746498900,23349.92,23359.93,23348.43,23358.43,77
1746499200,23358.43,23358.43,23342.93,23344.93,102
1746499500,23344.93,23352.92,23344.93,23351.42,59
1746499800,23351.42,23358.41,23351.42,23353.93,75
1746500100,23353.93,23357.92,23346.91,23346.92,74
1746500400,23346.92,23346.92,23335.93,23335.93,67
1746500700,23335.93,23338.92,23330.42,23332.43,178
1746501000,23332.43,23347.93,23332.41,23347.42,94
1746501300,23347.42,23356.43,23345.43,23354.42,101
1746501600,23354.42,23359.93,23352.93,23356.93,67
1746501900,23356.93,23358.43,23355.42,23356.41,51
1746502200,23356.41,23364.43,23354.91,23363.93,107
1746502500,23363.93,23375.92,23363.92,23368.42,84
1746502800,23368.42,23373.43,23367.41,23368.43,110
1746503100,23368.43,23369.92,23365.41,23369.41,76
1746503400,23369.41,23376.43,23369.41,23376.43,69
1746503700,23376.43,23379.43,23375.91,23379.41,85
1746504000,23379.41,23382.93,23375.91,23378.93,104
1746504300,23378.93,23380.93,23371.42,23371.42,87
1746504600,23371.42,23380.41,23369.41,23374.91,65
1746504900,23374.91,23384.93,23374.91,23382.43,85
1746505200,23382.43,23383.92,23375.42,23375.42,68
1746505500,23375.42,23377.41,23371.41,23373.42,35
1746505800,23373.42,23375.93,23369.41,23371.41,91
1746506100,23371.41,23372.93,23366.42,23366.42,70
1746506400,23366.42,23371.93,23364.93,23369.41,85
1746506700,23369.41,23370.92,23365.91,23368.41,22
1746507000,23368.41,23368.92,23364.91,23364.91,33
1746507300,23364.91,23375.91,23363.91,23375.91,67
1746507600,23375.91,23379.42,23363.92,23366.42,200
1746507900,23366.42,23370.91,23363.42,23369.91,88
1746508200,23369.91,23372.93,23365.42,23366.41,95
1746508500,23366.41,23368.93,23355.43,23355.93,111
1746508800,23355.93,23359.93,23353.92,23359.42,51
1746509100,23359.42,23362.43,23355.41,23358.42,63
1746509400,23358.42,23360.93,23349.93,23357.42,114
1746509700,23357.42,23367.43,23353.41,23367.43,91
1746510000,23367.43,23376.41,23359.92,23360.43,193
1746510300,23360.43,23362.93,23352.92,23356.42,125
1746510600,23356.42,23360.43,23352.41,23354.91,90
1746510900,23354.91,23356.93,23340.42,23345.93,184
1746511200,23345.93,23381.92,23343.93,23381.43,364
1746511500,23381.43,23397.91,23379.93,23394.93,251
